aircraft_reg_num,Identifier,Flight.Number,Arr.Dep.Flag,New.Bay,TimeNow,Flht_Sch_Date_Frmt,CancelledFlight,delayMinutes,aircraftSwap,flightID,schd_dest,Flht_ETAETD_Date_Frmt,aircraft_reg_num_old,Conflict,IsFlagship,IsPartOfPair,aircraft_type,NewBay_prev,IsUSFlight,BestInsert,PaxConnBestInsert
A0WBL,EK0972_2016-12-28_A_09,EK0972,A,B26L,28/12/2016 03:00,28/12/2016 09:35,0,15,,FL-EK-0972-20161228-IKA-DXB-0,DXB,28/12/2016 09:50,A0WBL,0,0,0,B777300,B26L,0,none,1.00E+10
A0WBP,EK0658_2016-12-28_D_00,EK0658,D,G21,28/12/2016 03:00,29/12/2016 00:35,0,0,,FL-EK-0658-20161229-DXB-MLE-0,MLE,29/12/2016 00:35,A0WBP,0,0,0,B777300,G21,0,none,1.00E+10
A0WBP,EK0872_2016-12-28_A_12,EK0872,A,G21,28/12/2016 03:00,28/12/2016 12:55,0,0,,FL-EK-0872-20161228-KWI-DXB-0,DXB,28/12/2016 12:55,A0WBP,0,0,0,B777300,G21,0,none,1.00E+10
A0WBP,EK0871_2016-12-28_D_08,EK0871,D,F18,28/12/2016 03:00,28/12/2016 08:00,0,0,,FL-EK-0871-20161228-DXB-KWI-0,KWI,28/12/2016 08:00,A0WBP,1,0,0,B777300,F18,0,A07,267.4032022
A0WBS,EK0607_2016-12-28_A_11,EK0607,A,C28,28/12/2016 03:00,28/12/2016 11:15,0,30,,FL-EK-0607-20161228-KHI-DXB-0,DXB,28/12/2016 11:45,A0WBS,0,0,0,B777300,C28,0,none,1.00E+10
A0WBS,EK0606_2016-12-28_D_05,EK0606,D,B18L,28/12/2016 03:00,28/12/2016 05:30,0,35,,FL-EK-0606-20161228-DXB-KHI-0,KHI,28/12/2016 06:05,A0WBS,1,0,0,B777300,B18L,0,B01,267.4032022
A0WBS,EK0837_2016-12-29_D_04,EK0837,D,C28,28/12/2016 03:00,29/12/2016 04:30,0,0,,FL-EK-0837-20161229-DXB-BAH-0,BAH,29/12/2016 04:30,A0WBS,0,0,0,B777300,C28,0,none,1.00E+10
A0WBX,EK0513_2016-12-28_A_10,EK0513,A,F08,28/12/2016 03:00,28/12/2016 10:40,0,0,,FL-EK-0513-20161228-DEL-DXB-0,DXB,28/12/2016 10:40,A0WBX,0,0,0,B777300,F08,0,none,1.00E+10
A0WBY,EK0837_2016-12-28_D_04,EK0837,D,C39,28/12/2016 03:00,28/12/2016 04:30,0,35,,FL-EK-0837-20161228-DXB-BAH-0,BAH,28/12/2016 05:05,A0WBY,0,0,0,B777300,C39,0,none,1.00E+10
A0WBY,EK0838_2016-12-28_A_08,EK0838,A,F09,28/12/2016 03:00,28/12/2016 08:00,0,35,,FL-EK-0838-20161228-BAH-DXB-0,DXB,28/12/2016 08:35,A0WBY,0,0,0,B777300,F09,0,none,1.00E+10
