"flt_id"	"fltNum"	"depStn"	"arrStn"	"utcSTD"	"utcSTA"	"cancelled"	"utcEstOUT"	"utcEstIN"	"utcATD"	"utcATA"	"first"	"business"	"coach"	"ac_registration"
"FL-EK-0420-20161230-DXB-PER-0"	"0420"	"DXB"	"PER"	2016-12-30 23:00:00	2016-12-31 09:35:00	"false"	2016-12-30 23:00:00	2016-12-31 09:35:00	NA	NA	4	40	304	"A0WNU"
"FL-EK-0206-20161229-MXP-DXB-0"	"0206"	"MXP"	"DXB"	2016-12-29 12:40:00	2016-12-29 18:45:00	"false"	2016-12-29 12:40:00	2016-12-29 18:45:00	NA	NA	14	72	389	"A0WFR"
"FL-EK-0235-20161227-DXB-ORD-0"	"0235"	"DXB"	"ORD"	2016-12-27 05:45:00	2016-12-27 20:55:00	"false"	2016-12-27 05:45:00	2016-12-27 20:55:00	2016-12-27 05:45:00	NA	1	17	282	"A0WDH"
"FL-EK-0528-20161228-DXB-HYD-0"	"0528"	"DXB"	"HYD"	2016-12-28 10:50:00	2016-12-28 14:20:00	"false"	2016-12-28 10:50:00	2016-12-28 14:20:00	NA	NA	6	23	327	"A0WGU"
"FL-EK-0881-20161227-DXB-DOH-0"	"0881"	"DXB"	"DOH"	2016-12-27 15:20:00	2016-12-27 16:30:00	"false"	2016-12-27 15:20:00	2016-12-27 16:30:00	NA	NA	0	0	113	"A0WWU"
"FL-EK-0954-20161228-BEY-DXB-0"	"0954"	"BEY"	"DXB"	2016-12-28 17:15:00	2016-12-28 21:15:00	"false"	2016-12-28 17:15:00	2016-12-28 21:15:00	NA	NA	1	31	275	"A0WCN"
"FL-EK-0389-20161228-HAN-RGN-0"	"0389"	"HAN"	"RGN"	2016-12-28 15:45:00	2016-12-28 17:50:00	"false"	2016-12-28 15:45:00	2016-12-28 17:50:00	NA	NA	0	8	178	"A0WGP"
"FL-EK-0389-20161230-RGN-DXB-0"	"0389"	"RGN"	"DXB"	2016-12-30 19:20:00	2016-12-31 01:45:00	"false"	2016-12-30 19:20:00	2016-12-31 01:45:00	NA	NA	0	25	145	"A0WWW"
"FL-EK-0021-20161227-DXB-MAN-0"	"0021"	"DXB"	"MAN"	2016-12-27 23:00:00	2016-12-28 07:00:00	"false"	2016-12-27 23:00:00	2016-12-28 07:00:00	NA	NA	0	21	319	"A0WWT"
"FL-EK-0730-20161227-EBB-DXB-0"	"0730"	"EBB"	"DXB"	2016-12-27 12:20:00	2016-12-27 17:35:00	"false"	2016-12-27 12:20:00	2016-12-27 17:35:00	NA	NA	0	10	298	"A0WGQ"
