"Tail","FlightId","Origin","Destination","STD","STA","ETD","ETA","type"
"A0WMC","EK0105","DXB","ATH","12/27/2016 05:50","12/27/2016 11:15","12/27/2016 05:50","12/27/2016 11:15","delayed"
"A0WMC","EK0106","ATH","DXB","12/27/2016 13:25","12/27/2016 18:05","12/27/2016 13:25","12/27/2016 18:05","delayed"
"A0WMC","EK0105","DXB","ATH","12/27/2016 05:50","12/27/2016 11:15","12/27/2016 05:50","12/27/2016 11:15","delayed"
"A0WMC","EK0106","ATH","DXB","12/27/2016 13:25","12/27/2016 18:05","12/27/2016 13:25","12/27/2016 18:05","delayed"
"A0WMC","EK0105","DXB","ATH","12/27/2016 05:50","12/27/2016 11:15","12/27/2016 05:50","12/27/2016 11:15","delayed"
"A0WMC","EK0106","ATH","DXB","12/27/2016 13:25","12/27/2016 18:05","12/27/2016 13:25","12/27/2016 18:05","delayed"
"A0WMC","EK0105","DXB","ATH","12/27/2016 05:50","12/27/2016 11:15","12/27/2016 05:50","12/27/2016 11:15","delayed"
"A0WMC","EK0106","ATH","DXB","12/27/2016 13:25","12/27/2016 18:05","12/27/2016 13:25","12/27/2016 18:05","delayed"
"A0WMC","EK0105","DXB","ATH","12/27/2016 05:50","12/27/2016 11:15","12/27/2016 05:50","12/27/2016 11:15","delayed"
"A0WMC","EK0106","ATH","DXB","12/27/2016 13:25","12/27/2016 18:05","12/27/2016 13:25","12/27/2016 18:05","delayed"
"A0WMC","EK0105","DXB","ATH","12/27/2016 05:50","12/27/2016 11:15","12/27/2016 05:50","12/27/2016 11:15","delayed"
"A0WMC","EK0106","ATH","DXB","12/27/2016 13:25","12/27/2016 18:05","12/27/2016 13:25","12/27/2016 18:05","delayed"
"A0WBB","EK0111","DXB","BUD","12/27/2016 04:25","12/27/2016 10:40","12/27/2016 04:25","12/27/2016 10:40","delayed"
"A0WBB","EK0112","BUD","DXB","12/27/2016 13:40","12/27/2016 19:05","12/27/2016 13:40","12/27/2016 19:05","delayed"
"A0WBB","EK0111","DXB","BUD","12/27/2016 04:25","12/27/2016 10:40","12/27/2016 04:25","12/27/2016 10:40","delayed"
"A0WBB","EK0112","BUD","DXB","12/27/2016 13:40","12/27/2016 19:05","12/27/2016 13:40","12/27/2016 19:05","delayed"
"A0WBB","EK0111","DXB","BUD","12/27/2016 04:25","12/27/2016 10:40","12/27/2016 04:25","12/27/2016 10:40","delayed"
"A0WBB","EK0112","BUD","DXB","12/27/2016 13:40","12/27/2016 19:05","12/27/2016 13:40","12/27/2016 19:05","delayed"
