flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration
FL-EK-0312-20161229-DXB-HND-0,312,DXB,HND,29/12/2016 04:35,29/12/2016 13:45,FALSE,29/12/2016 04:35,29/12/2016 13:45,NA,NA,1,20,83,A0WDG
FL-EK-0749-20161229-DXB-TUN-0,749,DXB,TUN,29/12/2016 03:25,29/12/2016 10:20,FALSE,29/12/2016 03:25,29/12/2016 10:20,NA,NA,0,11,146,A0WBF
FL-EK-0871-20161229-DXB-KWI-0,871,DXB,KWI,29/12/2016 08:00,29/12/2016 09:50,FALSE,29/12/2016 08:00,29/12/2016 09:50,NA,NA,1,18,226,A0WDF
FL-EK-0658-20161227-DXB-MLE-0,658,DXB,MLE,27/12/2016 00:35,27/12/2016 04:45,FALSE,27/12/2016 00:35,27/12/2016 04:45,27/12/2016 00:35,27/12/2016 04:45,12,40,309,A0WBX
FL-EK-0849-20161227-DXB-DOH-0,849,DXB,DOH,27/12/2016 12:50,27/12/2016 14:00,FALSE,27/12/2016 12:50,27/12/2016 14:00,NA,NA,0,23,171,A0WCJ
FL-EK-0185-20161230-DXB-BCN-0,185,DXB,BCN,30/12/2016 03:50,30/12/2016 11:25,FALSE,30/12/2016 03:50,30/12/2016 11:25,NA,NA,2,37,249,A0WFB
FL-EK-0392-20161230-DXB-SGN-0,392,DXB,SGN,30/12/2016 05:40,30/12/2016 12:25,FALSE,30/12/2016 05:40,30/12/2016 12:25,NA,NA,0,28,374,A0WWT
FL-EK-0051-20161230-DXB-MUC-0,51,DXB,MUC,30/12/2016 12:00,30/12/2016 18:40,FALSE,30/12/2016 12:00,30/12/2016 18:40,NA,NA,0,12,209,A0WFO
FL-EK-0968-20161230-MHD-DXB-0,968,MHD,DXB,30/12/2016 07:05,30/12/2016 09:35,FALSE,30/12/2016 07:05,30/12/2016 09:35,NA,NA,1,6,162,A0WIR
FL-EK-0370-20161227-DXB-BKK-0,370,DXB,BKK,27/12/2016 07:45,27/12/2016 13:50,FALSE,27/12/2016 07:45,27/12/2016 13:50,27/12/2016 07:45,NA,0,40,389,A0WDZ
FL-EK-0823-20161230-DXB-DMM-0,823,DXB,DMM,30/12/2016 22:50,31/12/2016 00:15,FALSE,30/12/2016 22:50,31/12/2016 00:15,NA,NA,0,5,78,A0WWN
FL-EK-0872-20161229-KWI-DXB-0,872,KWI,DXB,29/12/2016 11:15,29/12/2016 12:55,FALSE,29/12/2016 11:15,29/12/2016 12:55,NA,NA,1,29,259,A0WDF
FL-EK-0405-20161231-SIN-DXB-0,405,SIN,DXB,31/12/2016 17:20,01/01/2017 00:30,FALSE,31/12/2016 17:20,01/01/2017 00:30,NA,NA,3,29,261,A0WVW
FL-EK-0526-20161231-DXB-HYD-0,526,DXB,HYD,31/12/2016 23:45,01/01/2017 03:10,FALSE,31/12/2016 23:45,01/01/2017 03:10,NA,NA,0,7,248,A0WGQ
FL-EK-0772-20161231-DXB-CPT-0,772,DXB,CPT,31/12/2016 00:00,31/12/2016 09:45,FALSE,31/12/2016 00:00,31/12/2016 09:45,NA,NA,0,35,302,A0WCF
