"Tail","FlightId","Origin","Destination","STD","STA","ETD","ETA","type"
"A0WLV","EK0703","DXB","MRU","12/27/2016 06:15","12/27/2016 12:55","12/27/2016 07:05","12/27/2016 13:45","delayed"
"A0WLV","EK0703","DXB","MRU","12/27/2016 06:15","12/27/2016 12:55","12/27/2016 07:05","12/27/2016 13:45","delayed"
"A0WLV","EK0703","DXB","MRU","12/27/2016 06:15","12/27/2016 12:55","12/27/2016 07:05","12/27/2016 13:45","delayed"
"A0WLV","EK0703","DXB","MRU","12/27/2016 06:15","12/27/2016 12:55","12/27/2016 07:05","12/27/2016 13:45","delayed"
"A0WLV","EK0703","DXB","MRU","12/27/2016 06:15","12/27/2016 12:55","12/27/2016 07:05","12/27/2016 13:45","delayed"
"A0WLV","EK0703","DXB","MRU","12/27/2016 06:15","12/27/2016 12:55","12/27/2016 07:05","12/27/2016 13:45","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:26","12/27/2016 12:01","delayed"
"A0WDA","EK0237","DXB","BOS","12/28/2016 04:40","12/28/2016 19:00","12/28/2016 04:40","12/28/2016 19:00","unaffected"
"A0WDA","EK0708","SEZ","DXB","12/27/2016 19:50","12/28/2016 00:20","12/27/2016 19:50","12/28/2016 00:20","unaffected"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
