flightNumber,operationDate,Search,origAirportID,destAirportID,aircraftID,dptDateTimeSch,arrDateTimeSch,aircraftSwap,CancelledFlight,dptDateTimeNew,arrDateTimeNew,delayMinutes
27,29/12/2016 00:00,27DXB,DXB,GLA,A0WGU,29/12/2016 03:20,29/12/2016 11:30,,0,29/12/2016 03:20,29/12/2016 11:30,0
28,29/12/2016 00:00,28GLA,GLA,DXB,A0WGU,29/12/2016 13:00,29/12/2016 20:30,,0,29/12/2016 13:00,29/12/2016 20:30,0
41,29/12/2016 00:00,41DXB,DXB,BHX,A0WGX,29/12/2016 22:25,30/12/2016 06:25,,0,29/12/2016 22:25,30/12/2016 06:25,0
333,29/12/2016 00:00,333MNL,MNL,DXB,A0WGX,29/12/2016 09:40,29/12/2016 19:15,,0,29/12/2016 09:40,29/12/2016 19:15,0
396,29/12/2016 00:00,396DXB,DXB,HKT,A0WGY,29/12/2016 19:00,30/12/2016 01:00,,0,29/12/2016 19:00,30/12/2016 01:00,0
640,29/12/2016 00:00,640DXB,DXB,KBL,A0WGY,29/12/2016 05:55,29/12/2016 08:45,,0,29/12/2016 05:55,29/12/2016 08:45,0
641,29/12/2016 00:00,641KBL,KBL,DXB,A0WGY,29/12/2016 12:00,29/12/2016 15:05,,0,29/12/2016 12:00,29/12/2016 15:05,0
326,29/12/2016 00:00,326DXB,DXB,INC,A0WIG,29/12/2016 22:50,30/12/2016 05:45,,0,29/12/2016 22:50,30/12/2016 05:45,0
864,29/12/2016 00:00,864DXB,DXB,MCT,A0WIG,29/12/2016 12:40,29/12/2016 13:55,,0,29/12/2016 12:40,29/12/2016 13:55,0
865,29/12/2016 00:00,865MCT,MCT,DXB,A0WIG,29/12/2016 15:10,29/12/2016 16:15,,0,29/12/2016 15:10,29/12/2016 16:15,0
214,29/12/2016 00:00,214FLL,FLL,DXB,A0WIH,29/12/2016 01:20,29/12/2016 15:40,,0,29/12/2016 01:20,29/12/2016 15:40,0
532,29/12/2016 00:00,532DXB,DXB,COK,A0WIH,29/12/2016 17:45,29/12/2016 21:35,,0,29/12/2016 17:45,29/12/2016 21:35,0
533,29/12/2016 00:00,533COK,COK,DXB,A0WIH,29/12/2016 23:00,30/12/2016 03:05,,0,29/12/2016 23:00,30/12/2016 03:05,0
538,29/12/2016 00:00,538DXB,DXB,AMD,A0WIJ,29/12/2016 19:00,29/12/2016 21:30,,0,29/12/2016 19:00,29/12/2016 21:30,0
539,29/12/2016 00:00,539AMD,AMD,DXB,A0WIJ,29/12/2016 22:55,30/12/2016 02:10,,0,29/12/2016 22:55,30/12/2016 02:10,0
877,29/12/2016 00:00,877DXB,DXB,DOH,A0WIJ,29/12/2016 09:05,29/12/2016 10:20,,0,29/12/2016 09:05,29/12/2016 10:20,0
878,29/12/2016 00:00,878DOH,DOH,DXB,A0WIJ,29/12/2016 11:50,29/12/2016 13:00,,0,29/12/2016 11:50,29/12/2016 13:00,0
976,29/12/2016 00:00,976IKA,IKA,DXB,A0WIJ,29/12/2016 02:10,29/12/2016 04:20,,0,29/12/2016 02:10,29/12/2016 04:20,0
508,29/12/2016 00:00,508DXB,DXB,BOM,A0WIK,29/12/2016 12:00,29/12/2016 15:05,,0,29/12/2016 12:00,29/12/2016 15:05,0
509,29/12/2016 00:00,509BOM,BOM,DXB,A0WIK,29/12/2016 16:30,29/12/2016 19:55,,0,29/12/2016 16:30,29/12/2016 19:55,0
836,29/12/2016 00:00,836BAH,BAH,DXB,A0WIK,29/12/2016 00:45,29/12/2016 02:00,,0,29/12/2016 00:45,29/12/2016 02:00,0
847,29/12/2016 00:00,847DXB,DXB,DOH,A0WIK,29/12/2016 22:05,29/12/2016 23:20,,0,29/12/2016 22:05,29/12/2016 23:20,0
971,29/12/2016 00:00,971DXB,DXB,IKA,A0WIK,29/12/2016 03:50,29/12/2016 06:10,,0,29/12/2016 03:50,29/12/2016 06:10,0
972,29/12/2016 00:00,972IKA,IKA,DXB,A0WIK,29/12/2016 07:25,29/12/2016 09:35,,0,29/12/2016 07:25,29/12/2016 09:35,0
851,29/12/2016 00:00,851DXB,DXB,DOH,A0WIR,29/12/2016 06:20,29/12/2016 07:35,,0,29/12/2016 06:20,29/12/2016 07:35,0
852,29/12/2016 00:00,852DOH,DOH,DXB,A0WIR,29/12/2016 08:50,29/12/2016 09:55,,0,29/12/2016 08:50,29/12/2016 09:55,0
977,29/12/2016 00:00,977DXB,DXB,IKA,A0WIR,29/12/2016 16:45,29/12/2016 19:00,,0,29/12/2016 16:45,29/12/2016 19:00,0
978,29/12/2016 00:00,978IKA,IKA,DXB,A0WIR,29/12/2016 21:25,29/12/2016 23:45,,0,29/12/2016 21:25,29/12/2016 23:45,0
89,29/12/2016 00:00,89DXB,DXB,GVA,A0WIU,29/12/2016 04:40,29/12/2016 11:45,,0,29/12/2016 04:40,29/12/2016 11:45,0
90,29/12/2016 00:00,90GVA,GVA,DXB,A0WIU,29/12/2016 13:35,29/12/2016 20:05,,0,29/12/2016 13:35,29/12/2016 20:05,0
213,29/12/2016 00:00,213DXB,DXB,FLL,A0WIU,29/12/2016 23:30,30/12/2016 15:55,,0,29/12/2016 23:30,30/12/2016 15:55,0
83,29/12/2016 00:00,83DXB,DXB,GVA,A0WIW,29/12/2016 10:50,29/12/2016 17:55,,0,29/12/2016 10:50,29/12/2016 17:55,0
84,29/12/2016 00:00,84GVA,GVA,DXB,A0WIW,29/12/2016 19:40,30/12/2016 02:05,,0,29/12/2016 19:40,30/12/2016 02:05,0
862,29/12/2016 00:00,862DXB,DXB,MCT,A0WIW,29/12/2016 04:30,29/12/2016 05:45,,0,29/12/2016 04:30,29/12/2016 05:45,0
863,29/12/2016 00:00,863MCT,MCT,DXB,A0WIW,29/12/2016 06:50,29/12/2016 07:55,,0,29/12/2016 06:50,29/12/2016 07:55,0
418,29/12/2016 00:00,418DXB,DXB,BKK,A0WLA,29/12/2016 04:55,29/12/2016 10:55,,0,29/12/2016 04:55,29/12/2016 10:55,0
418,29/12/2016 00:00,418BKK,BKK,SYD,A0WLA,29/12/2016 12:30,29/12/2016 22:00,,0,29/12/2016 12:30,29/12/2016 22:00,0
418,29/12/2016 00:00,418SYD,SYD,AKL,A0WLA,29/12/2016 23:40,30/12/2016 02:55,,0,29/12/2016 23:40,30/12/2016 02:55,0
307,29/12/2016 00:00,307PEK,PEK,DXB,A0WLB,29/12/2016 15:40,30/12/2016 00:20,,0,29/12/2016 15:40,30/12/2016 00:20,0
421,29/12/2016 00:00,421PER,PER,DXB,A0WLC,29/12/2016 14:20,30/12/2016 01:25,,0,29/12/2016 14:20,30/12/2016 01:25,0
204,29/12/2016 00:00,204JFK,JFK,DXB,A0WLD,29/12/2016 15:40,30/12/2016 04:10,,0,29/12/2016 15:40,30/12/2016 04:10,0
413,29/12/2016 00:00,413CHC,CHC,SYD,A0WLE,29/12/2016 05:45,29/12/2016 09:05,,0,29/12/2016 05:45,29/12/2016 09:05,0
413,29/12/2016 00:00,413SYD,SYD,DXB,A0WLE,29/12/2016 10:45,30/12/2016 01:15,,0,29/12/2016 10:45,30/12/2016 01:15,0
217,29/12/2016 00:00,217DXB,DXB,LAX,A0WLF,29/12/2016 11:00,30/12/2016 03:15,,0,29/12/2016 11:00,30/12/2016 03:15,0
380,29/12/2016 00:00,380DXB,DXB,HKG,A0WLG,29/12/2016 06:05,29/12/2016 13:05,,0,29/12/2016 06:05,29/12/2016 13:05,0
381,29/12/2016 00:00,381HKG,HKG,DXB,A0WLG,29/12/2016 16:35,30/12/2016 01:35,,0,29/12/2016 16:35,30/12/2016 01:35,0
366,29/12/2016 00:00,366DXB,DXB,TPE,A0WLH,29/12/2016 00:45,29/12/2016 08:50,,0,29/12/2016 00:45,29/12/2016 08:50,0
367,29/12/2016 00:00,367TPE,TPE,DXB,A0WLH,29/12/2016 15:45,30/12/2016 01:45,,0,29/12/2016 15:45,30/12/2016 01:45,0
201,29/12/2016 00:00,201DXB,DXB,JFK,A0WLI,29/12/2016 04:30,29/12/2016 18:55,,0,29/12/2016 04:30,29/12/2016 18:55,0
