,flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration,new_flt_id
2412,FL-EK-0770-20161230-DXB-CPT-0,770,DXB,CPT,2016-12-30 04:55:00,2016-12-30 14:30:00,False,2016-12-30 04:55:00,2016-12-30 14:30:00,,,6,33,272,A0WMV,20161230
2413,FL-EK-0529-20161229-HYD-DXB-0,529,HYD,DXB,2016-12-29 15:50:00,2016-12-29 19:59:00,False,2016-12-29 15:50:00,2016-12-29 19:59:00,,,8,41,302,A0WGA,20161229
2414,FL-EK-0849-20161229-DXB-DOH-0,849,DXB,DOH,2016-12-29 12:50:00,2016-12-29 14:00:00,False,2016-12-29 12:50:00,2016-12-29 14:00:00,,,0,6,256,A0WBS,20161229
2415,FL-EK-0008-20161229-LHR-DXB-0,8,LHR,DXB,2016-12-29 09:10:00,2016-12-29 16:00:00,False,2016-12-29 09:10:00,2016-12-29 16:00:00,,,14,71,422,A0WLW,20161229
2416,FL-EK-0757-20161231-DXB-ALG-0,757,DXB,ALG,2016-12-31 04:10:00,2016-12-31 11:40:00,False,2016-12-31 04:10:00,2016-12-31 11:40:00,,,0,31,150,A0WGQ,20161231
2417,FL-EK-0923-20161231-DXB-CAI-0,923,DXB,CAI,2016-12-31 11:00:00,2016-12-31 15:15:00,False,2016-12-31 11:00:00,2016-12-31 15:15:00,,,2,16,193,A0WMK,20161231
2418,FL-EK-0055-20161231-DXB-DUS-0,55,DXB,DUS,2016-12-31 04:30:00,2016-12-31 11:40:00,False,2016-12-31 04:30:00,2016-12-31 11:40:00,,,2,10,225,A0WVQ,20161231
2419,FL-EK-0206-20161227-JFK-MXP-0,206,JFK,MXP,2016-12-27 03:20:00,2016-12-27 10:55:00,False,2016-12-27 03:20:00,2016-12-27 10:55:00,27/12/2016 03:20,27/12/2016 10:55,3,10,150,A0WLC,20161227
2420,FL-EK-0216-20161229-LAX-DXB-0,216,LAX,DXB,2016-12-29 23:35:00,2016-12-30 15:30:00,False,2016-12-29 23:35:00,2016-12-30 15:30:00,,,4,48,379,A0WVG,20161229
2421,FL-EK-0570-20161231-DXB-CCU-0,570,DXB,CCU,2016-12-31 23:25:00,2017-01-01 03:45:00,False,2016-12-31 23:25:00,2017-01-01 03:45:00,,,0,11,245,A0WDX,20161231
2422,FL-EK-0346-20161231-DXB-KUL-0,346,DXB,KUL,2016-12-31 00:10:00,2016-12-31 07:15:00,False,2016-12-31 00:10:00,2016-12-31 07:15:00,,,8,68,417,A0WVB,20161231
2423,FL-EK-0713-20161230-DXB-LUN-0,713,DXB,LUN,2016-12-30 05:25:00,2016-12-30 12:40:00,False,2016-12-30 05:25:00,2016-12-30 12:40:00,,,3,12,144,A0WCN,20161230
2424,FL-EK-0072-20161230-CDG-DXB-0,72,CDG,DXB,2016-12-30 08:55:00,2016-12-30 15:35:00,False,2016-12-30 08:55:00,2016-12-30 15:35:00,,,6,72,420,A0WFQ,20161230
2425,FL-EK-0338-20161230-DXB-CEB-0,338,DXB,CEB,2016-12-30 22:45:00,2016-12-31 07:35:00,False,2016-12-30 22:45:00,2016-12-31 07:35:00,,,0,14,313,A0WGB,20161230
2426,FL-EK-0206-20161230-JFK-MXP-0,206,JFK,MXP,2016-12-30 03:20:00,2016-12-30 10:55:00,False,2016-12-30 03:20:00,2016-12-30 10:55:00,,,3,10,150,A0WFL,20161230
2427,FL-EK-0142-20161227-MAD-DXB-0,142,MAD,DXB,2016-12-27 13:25:00,2016-12-27 20:35:00,False,2016-12-27 13:25:00,2016-12-27 20:35:00,,,14,76,424,A0WFB,20161227
