Tail,Origin,Destination,STD,STA,ETD,ETA,type,fltNum
A0WWI,MLE,CMB,2016-12-27 11:20:00,2016-12-27 12:50:00,2016-12-27 12:45:00,2016-12-27 14:15:00,delayed,0652
A0WGW,ADD,DXB,2016-12-27 12:40:00,2016-12-27 16:50:00,2016-12-27 12:50:00,2016-12-27 17:00:00,delayed,0724
A0WCO,DAC,DXB,2016-12-27 12:40:00,2016-12-27 18:10:00,2016-12-27 13:00:00,2016-12-27 18:30:00,delayed,0587
A0WMC,ATH,DXB,2016-12-27 13:25:00,2016-12-27 18:05:00,2016-12-27 13:55:00,2016-12-27 18:35:00,delayed,0106
A0WCD,DME,DXB,2016-12-27 13:40:00,2016-12-27 18:55:00,2016-12-27 14:00:00,2016-12-27 19:15:00,delayed,0134
A0WBP,DXB,KHI,2016-12-27 14:10:00,2016-12-27 16:05:00,2016-12-27 14:10:00,2016-12-27 16:05:00,unaffected,0602
A0WGQ,EBB,DXB,2016-12-27 12:20:00,2016-12-27 17:35:00,2016-12-27 14:15:00,2016-12-27 19:30:00,delayed,0730
A0WBB,BUD,DXB,2016-12-27 13:40:00,2016-12-27 19:05:00,2016-12-27 14:31:00,2016-12-27 19:56:00,delayed,0112
A0WMM,CMB,MLE,2016-12-27 14:45:00,2016-12-27 16:25:00,2016-12-27 14:45:00,2016-12-27 16:25:00,swapped,0653
A0WWT,BLQ,DXB,2016-12-27 13:30:00,2016-12-27 19:20:00,2016-12-27 15:00:00,2016-12-27 20:50:00,delayed,0094
A0WLZ,VIE,DXB,2016-12-27 13:55:00,2016-12-27 19:35:00,2016-12-27 15:00:00,2016-12-27 20:40:00,delayed,0128
A0WVI,FCO,DXB,2016-12-27 13:55:00,2016-12-27 19:50:00,2016-12-27 15:15:00,2016-12-27 21:10:00,delayed,0098
A0WWI,CMB,DXB,2016-12-27 15:40:00,2016-12-27 20:15:00,2016-12-27 15:40:00,2016-12-27 20:15:00,delaydelaydelaydelaydelaydelaydelaydelaydelaydelaydelaydelaydelayswapped,0655
A0WVO,CAN,DXB,2016-12-27 16:15:00,2016-12-28 01:15:00,2016-12-27 16:15:00,2016-12-28 01:15:00,unaffected,0363
A0WLG,HKG,DXB,2016-12-27 16:35:00,2016-12-28 01:35:00,2016-12-27 16:35:00,2016-12-28 01:35:00,unaffected,0381
A0WDV,MNL,DXB,2016-12-27 16:20:00,2016-12-28 01:35:00,2016-12-27 16:35:00,2016-12-28 01:50:00,delayed,0335
A0WCZ,SGN,DXB,2016-12-27 16:55:00,2016-12-28 00:25:00,2016-12-27 16:55:00,2016-12-28 00:25:00,unaffected,0393
A0WMF,JNB,DXB,2016-12-27 17:05:00,2016-12-28 01:05:00,2016-12-27 17:06:00,2016-12-28 01:06:00,delayed,0764
A0WCM,DUR,DXB,2016-12-27 17:10:00,2016-12-28 01:25:00,2016-12-27 17:10:00,2016-12-28 01:25:00,unaffected,0776
A0WVV,KUL,DXB,2016-12-27 17:10:00,2016-12-28 00:30:00,2016-12-27 17:10:00,2016-12-28 00:30:00,unaffected,0343
A0WBP,KHI,DXB,2016-12-27 17:30:00,2016-12-27 19:59:00,2016-12-27 17:30:00,2016-12-27 19:59:00,unaffected,0603
A0WGY,LOS,DXB,2016-12-27 17:35:00,2016-12-28 01:05:00,2016-12-27 17:35:00,2016-12-28 01:05:00,unaffected,0784
A0WWJ,DXB,KUL,2016-12-27 17:40:00,2016-12-28 00:35:00,2016-12-27 17:40:00,2016-12-28 00:35:00,unaffected,0344
A0WMB,DXB,BLR,2016-12-27 17:50:00,2016-12-27 21:25:00,2016-12-27 17:50:00,2016-12-27 21:25:00,unaffected,0568
A0WIK,DXB,AMM,2016-12-27 18:00:00,2016-12-27 21:40:00,2016-12-27 18:00:00,2016-12-27 21:40:00,unaffected,0905
A0WGM,CPT,DXB,2016-12-27 18:00:00,2016-12-28 03:35:00,2016-12-27 18:00:00,2016-12-28 03:35:00,unaffected,0779
A0WLV,MRU,DXB,2016-12-27 19:00:00,2016-12-28 01:40:00,2016-12-27 19:00:00,2016-12-28 01:40:00,unaffected,0704
A0WDA,SEZ,DXB,2016-12-27 19:50:00,2016-12-28 00:20:00,2016-12-27 19:50:00,2016-12-28 00:20:00,unaffected,0708
A0WVL,PER,DXB,2016-12-27 21:40:00,2016-12-28 08:40:00,2016-12-27 21:40:00,2016-12-28 08:40:00,unaffected,0425
A0WLA,MEL,AKL,2016-12-27 21:10:00,2016-12-28 00:45:00,2016-12-27 22:00:00,2016-12-28 01:35:00,delayed,0406
A0WNA,SYD,CHC,2016-12-27 21:45:00,2016-12-28 00:50:00,2016-12-27 22:35:00,2016-12-28 01:40:00,delayed,0412
A0WFW,BNE,AKL,2016-12-27 22:25:00,2016-12-28 01:35:00,2016-12-27 23:15:00,2016-12-28 02:25:00,delayed,0434
A0WGW,DXB,MXP,2016-12-27 23:45:00,2016-12-28 06:45:00,2016-12-27 23:45:00,2016-12-28 06:45:00,unaffected,0101
A0WDP,SEA,DXB,2016-12-28 01:10:00,2016-12-28 15:45:00,2016-12-28 01:10:00,2016-12-28 15:45:00,unaffected,0230
